Gene ID,Gene Symbol,WT Control,WT Fracture,DTR Control,DTR fracture,LogFC WT Fx vs WT Ctrl,LogFC DTR Fx vs WT FX,LogFC DTR Fx vs DTR Ctrl,LogFC DTR Ctrl vs WT Ctrl,SD WT Control,SD WT Fracture,SD DTR Control,SD DTR Fracture,SEM WT Control,SEM WT Fracture,SEM DTR Control,SEM DTR Fracture
ENSMUSG00000105504.4,Gbp5,26.8,19.2,18.66666667,22,-0.4811,0.1964,0.2370,-0.5218,8.1976,11.6919,16.6533,2.0000,3.6661,5.2288,9.6148,1.1547
ENSMUSG00000105509.1,C130013H08Rik,33,26.4,20,13.66666667,-0.3219,-0.9499,-0.5493,-0.7225,16.3401,5.9833,7.5498,2.5166,7.3075,2.6758,4.3589,1.4530
ENSMUSG00000105514.1,Gm42913,27,22.6,25,30.33333333,-0.2566,0.4246,0.2790,-0.1110,12.0416,6.7305,22.0000,11.1505,5.3852,3.0100,12.7017,6.4377
ENSMUSG00000105561.1,Gm43462,60.6,67,55,36,0.1448,-0.8962,-0.6114,-0.1399,28.9275,21.6449,39.8497,28.0000,12.9368,9.6799,23.0072,16.1658
ENSMUSG00000105597.1,4633401B06Rik,9.2,14.6,6,4.666666667,0.6663,-1.6455,-0.3626,-0.6167,5.2631,6.0249,6.0828,6.4291,2.3537,2.6944,3.5119,3.7118
ENSMUSG00000105601.1,Gm42725,23.4,16.4,14,28,-0.5128,0.7717,1.0000,-0.7411,22.6451,7.3348,2.0000,33.2866,10.1272,3.2802,1.1547,19.2180
ENSMUSG00000105607.1,Gm43513,15.2,11.4,23,14,-0.4150,0.2964,-0.7162,0.5976,12.4780,7.5033,10.8167,12.2882,5.5803,3.3556,6.2450,7.0946
ENSMUSG00000105643.1,Gm42611,15.8,15.6,22,9,-0.0184,-0.7935,-1.2895,0.4776,7.6616,7.4027,14.1067,8.5440,3.4264,3.3106,8.1445,4.9329
ENSMUSG00000105655.1,Gm42659,51,26.2,34.66666667,32,-0.9609,0.2885,-0.1155,-0.5569,46.6851,15.4499,8.7369,22.3383,20.8782,6.9094,5.0442,12.8970
ENSMUSG00000105659.1,4930509H03Rik,34.4,39.8,55.33333333,29,0.2104,-0.4567,-0.9321,0.6857,21.2321,19.3830,4.0415,25.6320,9.4953,8.6683,2.3333,14.7986
ENSMUSG00000105679.1,Gm43338,28.4,24,26,38.33333333,-0.2429,0.6756,0.5601,-0.1274,14.9599,10.2956,12.0000,16.4418,6.6903,4.6043,6.9282,9.4927
ENSMUSG00000105691.1,Gm42876,8.8,10.4,11.33333333,32.33333333,0.2410,1.6364,1.5125,0.3650,13.0269,6.5038,7.0238,39.9291,5.8258,2.9086,4.0552,23.0531
ENSMUSG00000105692.1,Gm43737,39.2,40.4,29.33333333,18.66666667,0.0435,-1.1139,-0.6521,-0.4183,14.9900,16.9499,6.4291,15.0444,6.7037,7.5802,3.7118,8.6859
ENSMUSG00000105703.2,Gm43305,202.6,246,198.6666667,189,0.2800,-0.3803,-0.0720,-0.0283,70.1163,63.1348,17.9258,87.7097,31.3570,28.2347,10.3494,50.6392
ENSMUSG00000105728.1,Gm42819,10.6,14.8,23.66666667,14.66666667,0.4815,-0.0131,-0.6903,1.1588,11.8659,9.2574,8.1445,13.0512,5.3066,4.1400,4.7022,7.5351
ENSMUSG00000105742.1,Gm42748,30.2,22,30.33333333,23,-0.4570,0.0641,-0.3993,0.0064,20.5475,4.8990,14.5717,12.1244,9.1891,2.1909,8.4130,7.0000
ENSMUSG00000105748.1,Gm43088,16,11.8,53,16.33333333,-0.4393,0.4690,-1.6982,1.7279,11.9164,10.2811,41.5812,12.7410,5.3292,4.5978,24.0069,7.3560
ENSMUSG00000105776.1,Gm43292,31.2,21.6,42,33,-0.5305,0.6114,-0.3479,0.4288,33.4245,15.1261,11.5326,37.4700,14.9479,6.7646,6.6583,21.6333
ENSMUSG00000105804.1,Gm43654,18.8,25.8,33,19,0.4566,-0.4414,-0.7965,0.8117,11.1669,15.8177,2.0000,30.3150,4.9940,7.0739,1.1547,17.5024
ENSMUSG00000105824.1,Gm43466,17.8,24.6,9.333333333,9.666666667,0.4668,-1.3476,0.0506,-0.9314,10.1094,12.6214,2.0817,11.2398,4.5211,5.6445,1.2019,6.4893
ENSMUSG00000105842.1,Gm43329,39,56.4,92.33333333,57.33333333,0.5322,0.0237,-0.6875,1.2434,22.4944,18.6628,43.5928,40.5010,10.0598,8.3463,25.1683,23.3833
ENSMUSG00000105851.1,9130604C24Rik,16.8,28.8,33.66666667,34.33333333,0.7776,0.2535,0.0283,1.0029,14.2021,12.3976,17.2143,22.4796,6.3514,5.5444,9.9387,12.9786
ENSMUSG00000105895.1,Gm42829,17.2,7.8,17,31.66666667,-1.1409,2.0214,0.8974,-0.0169,14.0961,7.0498,14.9332,27.0617,6.3040,3.1528,8.6217,15.6241
