Gene ID,Gene Symbol,WT Control,WT Fracture,DTR Control,DTR fracture,LogFC WT Fx vs WT Ctrl,LogFC DTR Fx vs WT FX,LogFC DTR Fx vs DTR Ctrl,LogFC DTR Ctrl vs WT Ctrl,SD WT Control,SD WT Fracture,SD DTR Control,SD DTR Fracture,SEM WT Control,SEM WT Fracture,SEM DTR Control,SEM DTR Fracture
ENSMUSG00000025795.8,Rassf3,69.2,56.4,97.33333333,115.3333333,-0.2951,1.0320,0.2448,0.4922,15.8651,12.9151,26.5769,46.7155,7.0951,5.7758,15.3442,26.9712
ENSMUSG00000025804.5,Ccr1,204,344.4,660.6666667,454.6666667,0.7555,0.4007,-0.5391,1.6954,140.8741,96.4873,116.8945,344.5030,63.0008,43.1504,67.4891,198.8989
ENSMUSG00000025809.15,Itgb1,1111.6,1453.2,1272.333333,898.3333333,0.3866,-0.6939,-0.5022,0.1948,714.1875,367.2556,417.5097,692.2011,319.3944,164.2417,241.0493,399.6425
ENSMUSG00000025810.9,Nrp1,306.8,385.8,542.3333333,520,0.3306,0.4307,-0.0607,0.8219,212.8161,101.0678,142.1419,340.5540,95.1743,45.1989,82.0657,196.6189
ENSMUSG00000025816.15,Sec61a2,114.6,188,207.6666667,125,0.7141,-0.5888,-0.7323,0.8577,72.0715,34.5832,9.7125,39.8497,32.2314,15.4661,5.6075,23.0072
ENSMUSG00000025817.12,Nudt5,304.2,446.8,335.6666667,248.6666667,0.5546,-0.8454,-0.4328,0.1420,96.1546,59.2047,25.4231,137.0268,43.0016,26.4772,14.6780,79.1124
ENSMUSG00000025821.9,Zfp282,141,114.8,125.3333333,106.3333333,-0.2966,-0.1105,-0.2372,-0.1699,39.3383,24.9139,56.7480,63.7207,17.5926,11.1418,32.7635,36.7892
ENSMUSG00000025823.9,Pdia4,2124,2792.8,2458,1870.666667,0.3949,-0.5782,-0.3939,0.2107,1451.9869,586.8992,284.4275,1358.6966,649.3483,262.4693,164.2143,784.4438
ENSMUSG00000025825.12,Iscu,2030.6,2981,3013.333333,1992.666667,0.5539,-0.5811,-0.5967,0.5695,335.4636,599.2099,327.9700,625.1802,150.0239,267.9748,189.3536,360.9480
ENSMUSG00000025854.15,Fam20c,205.6,176.2,289,279.3333333,-0.2226,0.6648,-0.0491,0.4912,114.0145,42.8334,42.2256,125.2451,50.9888,19.1557,24.3790,72.3103
ENSMUSG00000025855.13,Prkar1b,417.8,505.8,568.3333333,451.6666667,0.2758,-0.1633,-0.3315,0.4439,179.2281,29.4143,114.7359,230.3570,80.1532,13.1545,66.2428,132.9967
ENSMUSG00000025856.15,Pdgfa,128.4,205.6,173,83.66666667,0.6792,-1.2971,-1.0480,0.4301,47.3899,28.5184,53.8609,40.9186,21.1934,12.7538,31.0966,23.6244
ENSMUSG00000025857.10,Dnaaf5,88,89.6,100,97,0.0260,0.1145,-0.0439,0.1844,68.0331,15.6621,29.5127,61.4898,30.4253,7.0043,17.0392,35.5012
ENSMUSG00000025858.12,Get4,688.6,860.2,937.6666667,685.6666667,0.3210,-0.3272,-0.4516,0.4454,359.3060,55.3688,169.4235,346.0583,160.6865,24.7617,97.8167,199.7968
ENSMUSG00000025860.15,Xiap,106.2,125.2,197,113.3333333,0.2375,-0.1437,-0.7976,0.8914,37.4593,58.0448,83.8630,69.6946,16.7523,25.9584,48.4183,40.2382
ENSMUSG00000025862.14,Stag2,166.6,204,231.6666667,154,0.2922,-0.4056,-0.5891,0.4757,54.6013,32.4885,111.1590,107.0561,24.4184,14.5293,64.1777,61.8088
ENSMUSG00000025868.6,Higd2a,2359.2,2859.6,2989.333333,3762.333333,0.2775,0.3958,0.3318,0.3415,774.8914,773.1399,562.8147,1644.3255,346.5420,345.7587,324.9412,949.3518
ENSMUSG00000025869.11,Nop16,496.2,657.6,612.3333333,383,0.4063,-0.7799,-0.6770,0.3034,247.5989,126.6799,17.2434,162.4438,110.7296,56.6530,9.9555,93.7870
ENSMUSG00000025870.10,Arl10,733,906.2,986,832,0.3060,-0.1232,-0.2450,0.4278,181.2609,146.4913,83.1384,227.9210,81.0623,65.5129,48.0000,131.5903
ENSMUSG00000025871.18,4833439L19Rik,1187.8,1328,1199.333333,797.3333333,0.1610,-0.7360,-0.5890,0.0139,714.2553,322.6221,144.5764,598.7607,319.4247,144.2810,83.4712,345.6946
ENSMUSG00000025872.5,Thoc3,231.4,361.6,342,242.3333333,0.6440,-0.5774,-0.4970,0.5636,117.3640,31.8716,81.6884,79.9771,52.4868,14.2534,47.1628,46.1748
ENSMUSG00000025873.16,Faf2,569.4,684.6,686.3333333,407.6666667,0.2658,-0.7479,-0.7515,0.2695,325.2050,143.9819,156.4939,280.8725,145.4361,64.3907,90.3518,162.1618
ENSMUSG00000025875.14,Tspan17,44.2,53.8,38.66666667,51,0.2836,-0.0771,0.3994,-0.1930,27.1054,21.4756,21.0317,45.5082,12.1219,9.6042,12.1427,26.2742
ENSMUSG00000025877.14,Hk3,884.8,855,796,673.6666667,-0.0494,-0.3439,-0.2407,-0.1526,500.6423,378.1924,359.2882,535.6121,223.8940,169.1328,207.4351,309.2358
ENSMUSG00000025878.16,Uimc1,279.6,345.4,408.3333333,368,0.3049,0.0914,-0.1500,0.5464,78.1940,35.8859,45.9384,62.5540,34.9694,16.0487,26.5225,36.1156
ENSMUSG00000025880.11,Smad7,238.8,248.4,280,260,0.0569,0.0658,-0.1069,0.2296,52.7229,71.1955,89.2020,84.1606,23.5784,31.8396,51.5008,48.5901
ENSMUSG00000025888.6,Casp1,528.6,648.6,739,558.6666667,0.2952,-0.2153,-0.4036,0.4834,229.0367,86.7946,109.0000,161.6581,102.4283,38.8157,62.9312,93.3333
ENSMUSG00000025893.8,Kbtbd3,157.8,144.6,158.6666667,197.6666667,-0.1260,0.4510,0.3171,0.0079,72.0292,51.4762,29.5014,104.2705,32.2124,23.0209,17.0326,60.2006
ENSMUSG00000025894.11,Aasdhppt,173.2,235.4,259.6666667,198.3333333,0.4427,-0.2472,-0.3887,0.5842,80.1854,24.9960,49.3390,115.7598,35.8600,11.1786,28.4859,66.8340
ENSMUSG00000025898.6,Cwf19l2,155.8,116.8,129.3333333,149.3333333,-0.4157,0.3545,0.2074,-0.2686,125.4340,28.7698,25.6970,49.1664,56.0958,12.8662,14.8361,28.3862
ENSMUSG00000025903.14,Lypla1,319.2,448.4,469.6666667,255,0.4903,-0.8143,-0.8811,0.5572,174.2016,55.8149,199.9258,126.6925,77.9053,24.9612,115.4272,73.1460
ENSMUSG00000025907.14,Rb1cc1,83.8,123,102.6666667,82.33333333,0.5536,-0.5791,-0.3184,0.2929,47.2091,38.2818,48.5421,17.9258,21.1126,17.1202,28.0258,10.3494
ENSMUSG00000025915.14,Sgk3,332.8,409.2,380.6666667,325.6666667,0.2982,-0.3294,-0.2251,0.1939,198.5011,53.8164,169.3527,139.7223,88.7724,24.0674,97.7758,80.6687
ENSMUSG00000025917.9,Cops5,774.8,969.2,849.3333333,581,0.3230,-0.7383,-0.5478,0.1325,264.0477,161.8632,67.0920,272.4023,118.0857,72.3874,38.7356,157.2715
ENSMUSG00000025920.19,Stau2,34,62.8,73,21.66666667,0.8852,-1.5353,-1.7524,1.1024,16.3860,15.4337,40.9512,27.2091,7.3280,6.9022,23.6432,15.7092
ENSMUSG00000025921.7,Rdh10,114,145.6,116.3333333,87.66666667,0.3530,-0.7319,-0.4082,0.0292,85.6767,20.4034,33.4863,56.6951,38.3158,9.1247,19.3333,32.7329
ENSMUSG00000025925.14,Terf1,174.6,179.8,226,227.3333333,0.0423,0.3384,0.0085,0.3723,77.6872,36.9689,59.1946,38.6954,34.7428,16.5330,34.1760,22.3408
ENSMUSG00000025931.15,Paqr8,19.6,21.2,4.333333333,8.666666667,0.1132,-1.2905,1.0000,-2.1773,9.9146,21.7647,7.5056,15.0111,4.4340,9.7334,4.3333,8.6667
ENSMUSG00000025933.15,Tmem14a,19.6,32.2,35.33333333,13,0.7162,-1.3085,-1.4425,0.8502,13.2212,14.6356,1.1547,14.1067,5.9127,6.5452,0.6667,8.1445
ENSMUSG00000025935.10,Tram1,2204,3082.8,3018.666667,2178.666667,0.4841,-0.5008,-0.4705,0.4538,1286.0391,502.3129,470.0791,956.7577,575.1342,224.6411,271.4003,552.3843
ENSMUSG00000025937.6,Lactb2,202.4,251.2,283,227.3333333,0.3116,-0.1440,-0.3160,0.4836,70.6244,37.8906,45.3982,71.6682,31.5842,16.9452,26.2107,41.3777
ENSMUSG00000025939.19,Ube2w,382.2,567.8,555.3333333,417.3333333,0.5711,-0.4442,-0.4122,0.5390,164.8505,57.9284,81.3286,197.5483,73.7234,25.9064,46.9551,114.0546
ENSMUSG00000025940.6,Tmem70,564.6,782.8,732.6666667,480.6666667,0.4714,-0.7036,-0.6081,0.3759,266.4110,72.4859,106.0393,277.4389,119.1426,32.4167,61.2218,160.1794
ENSMUSG00000025949.16,Pikfyve,125.8,121.4,138,97.33333333,-0.0514,-0.3188,-0.5037,0.1335,21.0048,30.9887,20.2978,36.5285,9.3936,13.8586,11.7189,21.0898
ENSMUSG00000025950.16,Idh1,410,551.2,461,302,0.4270,-0.8680,-0.6102,0.1691,218.2453,96.9211,130.5029,183.6627,97.6023,43.3444,75.3459,106.0377
ENSMUSG00000025956.10,Mettl21a,693,923.8,805.3333333,551,0.4147,-0.7455,-0.5475,0.2167,368.5098,121.7341,115.4181,329.4556,164.8026,54.4412,66.6367,190.2113
ENSMUSG00000025958.14,Creb1,237.6,341,284.6666667,194,0.5212,-0.8137,-0.5532,0.2607,115.5803,65.1613,71.9884,36.8646,51.6891,29.1410,41.5625,21.2838
ENSMUSG00000025959.13,Klf7,161.4,196.2,176.6666667,99.33333333,0.2817,-0.9820,-0.8307,0.1304,60.3515,34.1643,113.1607,37.0180,26.9900,15.2787,65.3333,21.3724
ENSMUSG00000025962.15,Fastkd2,165.2,190.4,174,160.3333333,0.2048,-0.2480,-0.1180,0.0749,118.4491,30.2209,39.0000,75.5667,52.9721,13.5152,22.5167,43.6285
ENSMUSG00000025967.16,Eef1b2,2896,4653.8,5861.333333,4605.666667,0.6843,-0.0150,-0.3478,1.0172,858.4626,1313.0174,683.8935,1925.5026,383.9161,587.1992,394.8461,1111.6895
ENSMUSG00000025968.16,Ndufs1,518.8,548.2,539.3333333,370.3333333,0.0795,-0.5659,-0.5424,0.0560,304.8495,72.2613,114.3431,150.9316,136.3328,32.3162,66.0160,87.1404
ENSMUSG00000025969.15,Nrp2,165,173.6,172,113,0.0733,-0.6194,-0.6061,0.0599,29.7825,26.1591,46.8722,44.7102,13.3192,11.6987,27.0617,25.8134
ENSMUSG00000025971.6,Maip1,197.2,294.4,319.6666667,239.6666667,0.5781,-0.2967,-0.4155,0.6969,89.3655,61.2764,30.8923,78.2581,39.9655,27.4036,17.8357,45.1823
ENSMUSG00000025979.13,Mob4,520.4,783.6,740,506.6666667,0.5905,-0.6291,-0.5465,0.5079,183.9315,86.1731,119.0588,215.8572,82.2567,38.5378,68.7386,124.6252
ENSMUSG00000025980.14,Hspd1,492.8,592.2,509.3333333,467.3333333,0.2651,-0.3416,-0.1242,0.0476,203.4126,87.9102,82.0325,55.9404,90.9689,39.3146,47.3615,32.2972
ENSMUSG00000025981.13,Coq10b,611.6,799.2,760,594.6666667,0.3860,-0.4265,-0.3539,0.3134,227.2472,154.7924,183.9266,266.1810,101.6280,69.2253,106.1901,153.6797
ENSMUSG00000025982.13,Sf3b1,2174.8,2607.6,3320.666667,2098.666667,0.2618,-0.3132,-0.6620,0.6106,1084.4370,231.9694,582.7661,1089.9148,484.9750,103.7399,336.4602,629.2626
ENSMUSG00000025986.6,Slc39a10,115.6,145.8,139.3333333,151.3333333,0.3348,0.0537,0.1192,0.2694,75.1618,27.4445,53.2009,49.0850,33.6134,12.2735,30.7155,28.3392
ENSMUSG00000025993.10,Slc40a1,1141.6,1447.6,1010,390.6666667,0.3426,-1.8897,-1.3703,-0.1767,738.4486,441.5595,317.6995,287.2322,330.2442,197.4714,183.4239,165.8336
ENSMUSG00000025995.16,Wdr75,223.4,258.2,197.3333333,248.3333333,0.2089,-0.0562,0.3316,-0.1790,52.5861,31.7128,55.3203,91.9366,23.5172,14.1824,31.9392,53.0796
ENSMUSG00000025997.13,Ikzf2,38.4,53.4,37,17,0.4757,-1.6513,-1.1220,-0.0536,20.1072,19.6036,20.6640,7.8102,8.9922,8.7670,11.9304,4.5092
ENSMUSG00000026000.16,Lancl1,635.8,725.4,939.3333333,673.3333333,0.1902,-0.1075,-0.4803,0.5631,197.8603,75.1618,166.1034,344.9034,88.4858,33.6134,95.8998,199.1301
ENSMUSG00000026003.5,Acadl,248,432.4,366,199,0.8020,-1.1196,-0.8791,0.5615,136.7827,73.8905,96.9484,85.0647,61.1711,33.0448,55.9732,49.1121
ENSMUSG00000026004.15,Kansl1l,54.8,107.4,102.6666667,67.66666667,0.9707,-0.6665,-0.6015,0.9057,33.0863,48.0552,60.5007,37.0720,14.7966,21.4909,34.9301,21.4035
ENSMUSG00000026005.15,Rpe,139.6,202.6,174.6666667,153.6666667,0.5373,-0.3988,-0.1848,0.3233,78.7674,42.3592,31.6596,53.9846,35.2258,18.9436,18.2787,31.1680
ENSMUSG00000026014.15,Raph1,22,15,10.66666667,22.66666667,-0.5525,0.5956,1.0875,-1.0444,17.8606,7.6811,10.2632,1.5275,7.9875,3.4351,5.9255,0.8819
ENSMUSG00000026017.13,Carf,30.8,33.6,37,9,0.1255,-1.9005,-2.0395,0.2646,7.1903,11.5456,13.7477,9.5394,3.2156,5.1633,7.9373,5.5076
ENSMUSG00000026019.15,Wdr12,443.2,462.4,344,471.3333333,0.0612,0.0276,0.4543,-0.3655,82.9620,97.2538,59.9083,142.6966,37.1018,43.4932,34.5881,82.3859
ENSMUSG00000026020.9,Nop58,83.8,112.4,97.66666667,51.33333333,0.4236,-1.1307,-0.9280,0.2209,12.6965,31.4849,30.5669,18.1751,5.6780,14.0805,17.6478,10.4934
ENSMUSG00000026021.15,Sumo1,597.4,824.2,806,525.3333333,0.4643,-0.6498,-0.6175,0.4321,271.7615,130.6549,135.2331,202.4607,121.5354,58.4306,78.0769,116.8907
ENSMUSG00000026024.14,Als2,107.4,100.2,95.66666667,74.66666667,-0.1001,-0.4243,-0.3576,-0.1669,59.5046,13.2740,30.1386,55.6447,26.6113,5.9363,17.4005,32.1265
ENSMUSG00000026027.13,Stradb,347.8,511.8,429.6666667,216.6666667,0.5573,-1.2401,-0.9877,0.3050,183.3949,44.7515,167.0249,186.4332,82.0167,20.0135,96.4319,107.6373
ENSMUSG00000026028.12,Trak2,51.6,64.8,88.33333333,36.33333333,0.3286,-0.8347,-1.2817,0.7756,32.6236,22.6870,6.1101,22.1886,14.5897,10.1459,3.5277,12.8106
ENSMUSG00000026029.14,Casp8,1393.6,1858.6,1776,1270,0.4154,-0.5494,-0.4838,0.3498,621.2611,169.5119,480.4508,347.7298,277.8364,75.8080,277.3884,200.7619
ENSMUSG00000026031.15,Cflar,1793.6,1798.2,2138.666667,2246.666667,0.0037,0.3212,0.0711,0.2539,242.3000,120.5268,82.8513,308.3137,108.3599,53.9012,47.8342,178.0050
ENSMUSG00000026032.8,Ndufb3,1526.2,1354.2,1378.333333,1944.333333,-0.1725,0.5218,0.4964,-0.1470,1069.8959,381.1269,269.8302,1007.6539,478.4720,170.4451,155.7865,581.7692
ENSMUSG00000026034.17,Clk1,1870.2,2150,3209.666667,2081.666667,0.2011,-0.0466,-0.6247,0.7792,1056.2456,203.4588,804.0487,1045.1777,472.3674,90.9896,464.2177,603.4336
ENSMUSG00000026035.15,Ppil3,267.4,409,368.6666667,334,0.6131,-0.2923,-0.1425,0.4633,101.9770,71.6101,76.6964,118.8613,45.6055,32.0250,44.2807,68.6246
ENSMUSG00000026036.17,Nif3l1,180.4,265,221,163.6666667,0.5548,-0.6952,-0.4333,0.2928,104.1408,72.9589,44.0341,108.6155,46.5732,32.6282,25.4231,62.7092
ENSMUSG00000026037.14,Orc2,119,132.8,128.6666667,84.66666667,0.1583,-0.6494,-0.6038,0.1127,57.9526,26.3382,47.0886,36.5011,25.9172,11.7788,27.1866,21.0739
ENSMUSG00000026047.13,Poglut2,300.6,361,418.6666667,212,0.2642,-0.7679,-0.9817,0.4780,192.8919,48.8416,46.3069,143.9826,86.2639,21.8426,26.7353,83.1284
ENSMUSG00000026048.16,Ercc5,118.6,153.6,161.6666667,122.3333333,0.3731,-0.3284,-0.4022,0.4469,29.5347,25.2547,37.5278,81.8311,13.2083,11.2942,21.6667,47.2452
ENSMUSG00000026049.11,Tex30,95.4,127.2,98,104.3333333,0.4150,-0.2859,0.0903,0.0388,45.9489,41.5415,21.9317,47.4377,20.5490,18.5779,12.6623,27.3882
ENSMUSG00000026064.16,Ptp4a1,8.6,26.2,13.33333333,21.33333333,1.6072,-0.2965,0.6781,0.6326,12.4016,18.7537,23.0940,22.0303,5.5462,8.3869,13.3333,12.7192
ENSMUSG00000026068.11,Il18rap,22,24.2,3,13,0.1375,-0.8965,2.1155,-2.8745,14.9499,11.8617,4.3589,21.6564,6.6858,5.3047,2.5166,12.5033
ENSMUSG00000026069.15,Il1rl1,15.8,21.6,27,9.333333333,0.4511,-1.2106,-1.5325,0.7730,9.9096,10.3102,9.5394,4.9329,4.4317,4.6109,5.5076,2.8480
ENSMUSG00000026072.12,Il1r1,25.6,18.6,15.66666667,12.33333333,-0.4608,-0.5927,-0.3451,-0.7084,13.3903,22.9630,17.1561,18.0093,5.9883,10.2694,9.9051,10.3976
ENSMUSG00000026074.15,Map4k4,400.2,400.8,554.6666667,428,0.0022,0.0947,-0.3740,0.4709,86.1696,81.4751,146.7697,124.3865,38.5362,36.4368,84.7375,71.8146
ENSMUSG00000026078.10,Pdcl3,412.8,600.6,520.6666667,369.3333333,0.5410,-0.7015,-0.4954,0.3349,198.1494,93.9377,61.0109,149.7910,88.6151,42.0102,35.2247,86.4819
ENSMUSG00000026082.11,Rev1,59.2,95,75.33333333,103.3333333,0.6823,0.1213,0.4559,0.3477,33.3047,16.1400,11.0151,49.8029,14.8943,7.2180,6.3596,28.7537
ENSMUSG00000026083.12,Eif5b,147.6,163,176,214.3333333,0.1432,0.3950,0.2843,0.2539,77.6808,39.1663,31.9531,108.2466,34.7399,17.5157,18.4481,62.4962
ENSMUSG00000026087.11,Mrpl30,615.8,729.2,891.6666667,792.3333333,0.2439,0.1198,-0.1704,0.5340,88.5477,148.3937,205.2860,240.5043,39.5997,66.3637,118.5219,138.8552
ENSMUSG00000026088.15,Mitd1,224.8,208.4,186,200,-0.1093,-0.0594,0.1047,-0.2733,130.9110,38.6950,84.6109,124.9280,58.5452,17.3049,48.8501,72.1272
ENSMUSG00000026090.16,2010300C02Rik,31.8,25.6,45,27.33333333,-0.3129,0.0945,-0.7193,0.5009,19.6138,14.3979,26.0000,28.0416,8.7715,6.4389,15.0111,16.1898
ENSMUSG00000026094.14,Stk17b,312.8,546.2,454.3333333,301.3333333,0.8042,-0.8581,-0.5924,0.5385,152.2488,84.3605,130.2165,140.8735,68.0877,37.7272,75.1805,81.3333
ENSMUSG00000026095.15,Asnsd1,202.8,263.6,243.3333333,210.3333333,0.3783,-0.3257,-0.2103,0.2629,121.2877,40.2032,61.8088,121.5415,54.2415,17.9794,35.6854,70.1720
ENSMUSG00000026096.14,Osgepl1,83.6,124.6,119.3333333,71,0.5757,-0.8114,-0.7491,0.5134,47.8675,38.6174,37.6873,52.7162,21.4070,17.2702,21.7588,30.4357
ENSMUSG00000026097.9,Ormdl1,607.4,951.2,963.3333333,576.3333333,0.6471,-0.7228,-0.7411,0.6654,347.3720,146.6942,161.9763,386.0846,155.3495,65.6037,93.5171,222.9061
ENSMUSG00000026098.13,Pms1,5.6,15.2,13.33333333,10.66666667,1.4406,-0.5110,-0.3219,1.2515,6.5803,5.6745,11.5470,10.0664,2.9428,2.5377,6.6667,5.8119
ENSMUSG00000026102.9,Inpp1,107.4,130,147.6666667,98,0.2755,-0.4077,-0.5915,0.4594,46.3552,19.9625,50.9346,61.2127,20.7307,8.9275,29.4071,35.3412
ENSMUSG00000026103.14,Gls,303.8,307.8,427.6666667,243,0.0189,-0.3410,-0.8155,0.4934,134.6614,42.2575,123.3099,40.2865,60.2224,18.8981,71.1930,23.2594
ENSMUSG00000026104.14,Stat1,1553,1029.4,1376,1137,-0.5933,0.1434,-0.2752,-0.1746,547.1389,220.5455,73.6274,161.0559,244.6880,98.6309,42.5088,92.9857
ENSMUSG00000026107.11,Nabp1,122.8,165.8,171,110,0.4331,-0.5919,-0.6365,0.4777,69.3340,14.7207,51.5073,82.0183,31.0071,6.5833,29.7377,47.3533
ENSMUSG00000026110.15,Mgat4a,1121,1589,1635.333333,1029.666667,0.5033,-0.6259,-0.6674,0.5448,617.6281,189.3132,365.7080,678.8979,276.2117,84.6635,211.1416,391.9619
ENSMUSG00000026111.15,Unc50,1919.2,2656.8,2490.666667,1613.333333,0.4692,-0.7196,-0.6265,0.3760,743.1549,268.8340,197.7102,757.6664,332.3490,120.2262,114.1481,437.4389
ENSMUSG00000026112.7,Coa5,805.2,752,723.3333333,547,-0.0986,-0.4592,-0.4031,-0.1547,540.5286,269.1031,196.8815,381.8429,241.7318,120.3466,113.6696,220.4571
ENSMUSG00000026113.17,Inpp4a,140.6,180,245.3333333,190,0.3564,0.0780,-0.3687,0.8031,42.5241,33.2039,61.0928,71.6868,19.0174,14.8492,35.2720,41.3884
ENSMUSG00000026116.11,Tmem131,151,179.4,167,161.6666667,0.2486,-0.1502,-0.0468,0.1453,50.5717,26.5104,24.5764,35.8097,22.6164,11.8558,14.1892,20.6747
ENSMUSG00000026121.13,Sema4c,251,263.8,242.3333333,202.6666667,0.0718,-0.3803,-0.2579,-0.0507,190.2564,79.6160,70.5006,134.3366,85.0853,35.6053,40.7035,77.5593
ENSMUSG00000026123.11,Plekhb2,756.6,847.8,858.6666667,706.3333333,0.1642,-0.2634,-0.2817,0.1826,492.9232,270.7059,216.9731,526.7261,220.4420,121.0634,125.2695,304.1054
ENSMUSG00000026126.15,Ptpn18,5814.2,4414,4773.333333,8095.666667,-0.3975,0.8751,0.7622,-0.2846,5719.6793,1299.0585,799.2505,4866.8020,2557.9184,580.9566,461.4475,2809.8494
ENSMUSG00000026127.13,Imp4,1008.8,1217,1222.333333,894.6666667,0.2707,-0.4439,-0.4502,0.2770,499.5060,183.1625,248.7013,431.4468,223.3859,81.9128,143.5878,249.0959
ENSMUSG00000026131.20,Dst,365,440.2,490.3333333,315.6666667,0.2703,-0.4798,-0.6354,0.4259,115.7951,26.4424,184.5382,199.0184,51.7851,11.8254,106.5432,114.9033
ENSMUSG00000026134.11,Prim2,130.2,166.4,103.6666667,84,0.3539,-0.9862,-0.3035,-0.3288,80.3038,37.8920,27.2274,88.6623,35.9130,16.9458,15.7198,51.1892
ENSMUSG00000026135.17,Zfp142,93.2,85,113.3333333,45,-0.1329,-0.9175,-1.3326,0.2822,50.2514,27.0093,33.2315,71.9236,22.4731,12.0789,19.1862,41.5251
ENSMUSG00000026142.15,Rhbdd1,244.6,314.4,263.3333333,182.3333333,0.3622,-0.7860,-0.5303,0.1065,146.7525,70.1092,151.9945,176.3784,65.6297,31.3538,87.7541,101.8321
ENSMUSG00000026150.14,Mff,878.4,1183.2,1095,717,0.4297,-0.7226,-0.6109,0.3180,473.9455,53.1761,168.4904,402.5966,211.9549,23.7811,97.2780,232.4392
ENSMUSG00000026153.15,Fam135a,24.8,34.2,30.33333333,22,0.4637,-0.6365,-0.4634,0.2906,15.2872,14.4118,12.5831,3.4641,6.8367,6.4452,7.2648,2.0000
ENSMUSG00000026154.4,Sdhaf4,356.6,401.4,360.6666667,340,0.1707,-0.2395,-0.0851,0.0164,101.8077,120.5210,15.9478,178.6813,45.5298,53.8986,9.2075,103.1617
ENSMUSG00000026155.13,Smap1,330.4,456.8,370.6666667,537.3333333,0.4673,0.2343,0.5357,0.1659,98.9409,110.0986,22.2336,202.2531,44.2477,49.2376,12.8366,116.7709
ENSMUSG00000026156.8,B3gat2,27.4,19,24,25,-0.5282,0.3959,0.0589,-0.1911,11.5456,12.5499,14.9332,24.0624,5.1633,5.6125,8.6217,13.8924
ENSMUSG00000026158.11,Ogfrl1,166.8,314,215,204.6666667,0.9126,-0.6175,-0.0711,0.3662,78.5729,74.3102,41.3884,73.5006,35.1389,33.2325,23.8956,42.4356
ENSMUSG00000026159.13,Agfg1,290.4,347.2,323.6666667,293.3333333,0.2577,-0.2432,-0.1420,0.1565,130.4657,54.9108,53.1068,138.0773,58.3460,24.5569,30.6612,79.7190
ENSMUSG00000026162.7,Nhej1,45,62.6,52.66666667,49,0.4762,-0.3534,-0.1041,0.2270,19.2224,12.4820,39.4631,41.3280,8.5965,5.5821,22.7840,23.8607
ENSMUSG00000026170.6,Cyp27a1,865.8,1002.2,1453.666667,1026,0.2111,0.0339,-0.5027,0.7476,493.1984,177.1065,412.8248,577.5993,220.5650,79.2044,238.3445,333.4771
ENSMUSG00000026171.12,Rnf25,268.4,339.4,320.6666667,181.3333333,0.3386,-0.9043,-0.8224,0.2567,147.6611,52.8801,86.6391,104.6152,66.0361,23.6487,50.0211,60.3996
ENSMUSG00000026172.12,Bcs1l,222,255.4,276.3333333,183.3333333,0.2022,-0.4783,-0.5919,0.3158,48.2442,62.1916,88.0019,50.0133,21.5754,27.8129,50.8079,28.8752
ENSMUSG00000026174.9,Cnot9,323,459.8,447.3333333,254.3333333,0.5095,-0.8543,-0.8146,0.4698,81.2619,42.5171,81.8189,131.7966,36.3414,19.0142,47.2382,76.0928
ENSMUSG00000026176.13,Ctdsp1,173.4,192.6,176.3333333,238.3333333,0.1515,0.3074,0.4347,0.0242,19.5269,36.3015,31.2143,98.2768,8.7327,16.2345,18.0216,56.7401
ENSMUSG00000026177.11,Slc11a1,5491.4,6179.4,8109.333333,5935,0.1703,-0.0582,-0.4503,0.5624,3422.1188,1581.7158,2049.5034,4067.8412,1530.4181,707.3648,1183.2814,2348.5692
ENSMUSG00000026179.14,Pnkd,555.4,530.2,488.6666667,642,-0.0670,0.2760,0.3937,-0.1847,289.0403,88.5816,34.1955,230.8008,129.2628,39.6149,19.7428,133.2529
ENSMUSG00000026181.13,Ppm1f,692.6,809.4,772,650,0.2248,-0.3164,-0.2482,0.1566,350.2104,65.8240,165.5023,182.0000,156.6188,29.4374,95.5528,105.0777
ENSMUSG00000026187.9,Xrcc5,136.8,150.2,65.33333333,49,0.1348,-1.6160,-0.4150,-1.0662,82.8957,20.0175,21.4554,26.5141,37.0721,8.9521,12.3873,15.3080
ENSMUSG00000026189.13,Pecr,509,805,802.3333333,518,0.6613,-0.6360,-0.6312,0.6565,218.3174,101.8798,33.1260,225.1866,97.6345,45.5620,19.1253,130.0115
ENSMUSG00000026192.13,Atic,187.6,247.2,345.6666667,316.6666667,0.3980,0.3573,-0.1264,0.8817,77.7965,37.4793,89.5786,78.5642,34.7917,16.7613,51.7183,45.3591
ENSMUSG00000026193.15,Fn1,20.6,13.4,14.66666667,64,-0.6204,2.2558,2.1255,-0.4901,14.8930,8.6487,18.9033,16.8226,6.6603,3.8678,10.9138,9.7125
ENSMUSG00000026197.12,Zfand2b,279.8,380,369.3333333,329.3333333,0.4416,-0.2065,-0.1654,0.4005,116.9987,55.4752,31.8172,80.6866,52.3234,24.8093,18.3697,46.5845
ENSMUSG00000026198.15,Abcb6,177.8,210.8,167,115.6666667,0.2456,-0.8659,-0.5299,-0.0904,148.7370,102.0181,103.5905,126.9816,66.5172,45.6239,59.8080,73.3129
ENSMUSG00000026199.17,Ankzf1,426.6,390.2,551,409,-0.1287,0.0679,-0.4300,0.3692,256.8877,74.9947,108.2820,229.5626,114.8837,33.5386,62.5167,132.5380
